"zip","median_income_census"
"Geographic Area Name",NA
"12967",75781
"12969",65469
"12970",84250
"12972",125373
"12973",104091
"12974",47278
"12975",NA
"12976",61406
"12977",NA
"12978",98958
"12979",45850
"12980",60938
"12981",76450
"12983",65985
"12985",76090
"12986",67883
"12987",127083
"12989",84464
"12992",82685
"12993",80139
"12996",69766
"12997",82344
"12998",NA
"13020",92813
"13021",60712
"13024",NA
"13026",96324
"13027",91797
"13028",61645
"13029",103878
"13030",68306
"13031",88224
"13032",81171
"13033",93092
"13034",104154
"13035",109394
"13036",83648
"13037",83963
"13039",107500
"13040",70167
"13041",120188
"13042",86587
"13044",64313
"13045",69961
"13051",NA
"13052",76750
"13053",83021
"13054",94100
"13057",80900
"13060",64448
"13061",75250
"13062",NA
"13063",84063
"13065",NA
"13066",122088
"13068",80043
"13069",63113
"13071",85972
"13072",48611
"13073",71452
"13074",81563
"13076",95889
"13077",72266
"13078",119191
"13080",83882
"13081",93558
"13082",82964
"13083",71667
"13084",91389
"13087",97125
"13088",75378
"13090",88492
"13092",78056
"13101",63587
"13102",NA
"13103",80000
"13104",127933
"13108",94327
"13110",93438
"13111",59063
"13112",96615
"13113",35313
"13114",65561
"13115",72857
"13116",95506
"13117",63250
"13118",67651
"13119",NA
"13120",55682
"13121",NA
"13122",81500
"13123",NA
"13124",90000
"13126",65346
"13131",70286
"13132",72473
"13134",72188
"13135",87041
"13136",51667
"13138",95083
"13140",61977
"13141",80208
"13142",73854
"13143",61674
"13144",64073
"13145",60625
"13146",61842
"13147",74934
"13148",65313
"13152",104211
"13153",158688
"13154",NA
"13155",66563
"13156",64063
"13157",45481
"13158",85208
"13159",101250
"13160",86029
"13162",NA
"13163",78125
"13164",84808
"13165",59981
"13166",78108
"13167",85294
"13202",27000
"13203",46997
"13204",45351
"13205",38497
"13206",63136
"13207",60720
"13208",44712
"13209",68138
"13210",41738
"13211",66724
"13212",81085
"13214",98000
"13215",113864
"13219",85149
"13224",76500
"13244",NA
"13290",NA
"13301",126397
"13302",55341
"13303",89940
"13304",108587
"13305",NA
"13308",87651
"13309",74767
"13310",101250
"13312",72266
"13313",36597
"13314",37000
"13315",65921
"13316",66760
"13317",72500
"13318",84211
"13319",73571
"13320",86204
"13321",68438
"13322",91369
"13323",78224
"13324",86176
"13325",58750
"13326",80040
"13327",66875
"13328",105000
"13329",60104
"13331",61250
"13332",79737
"13333",42813
"13334",58125
"13335",65000
"13337",99375
"13338",58333
"13339",56047
"13340",69821
"13342",83333
"13343",70478
"13345",48750
"13346",60600
"13348",80245
"13350",56157
"13352",NA
"13353",82000
"13354",101733
"13355",53988
"13357",63678
"13360",107750
"13361",92000
"13363",94432
"13364",80160
"13365",66307
"13367",67873
"13368",62159
"13402",74375
"13403",86300
"13404",NA
"13406",102692
"13407",69846
"13408",68750
"13409",72333
"13410",NA
"13411",55357
"13413",95261
"13415",83750
"13416",85128
"13417",59453
"13418",91250
"13420",109351
"13421",65752
"13424",84844
"13425",65243
"13428",76295
"13431",76000
"13433",50806
"13435",46971
"13436",73409
"13437",48438
"13438",69797
"13439",65761
"13440",68207
"13441",NA
"13450",119167
"13452",60327
"13454",122669
"13455",NA
"13456",93510
"13457",45833
"13459",65893
"13460",61587
