price,street,area,bedrooms,bathrooms,halfbathrooms,unit,status,buildingType,latitude,longitude
3795,340 East 58th Street,Sutton Place,1,1,0,5B,ACTIVE,RENTAL,40.759087,-73.963264
4975,420 East 80th Street,Yorkville,1,1,0,9D,ACTIVE,RENTAL,40.77228,-73.951035
4295,23 West 94th Street,Upper West Side,1,1,0,C,ACTIVE,RENTAL,40.790905,-73.96634
2860,166-20 90th Avenue,Jamaica,1,1,0,1329,ACTIVE,RENTAL,40.707336,-73.794174
2930,166-20 90th Avenue,Jamaica,1,1,0,1924,ACTIVE,RENTAL,40.707336,-73.794174
2940,166-20 90th Avenue,Jamaica,1,1,0,1104,ACTIVE,RENTAL,40.707336,-73.794174
6569,260 West 52nd Street,Midtown,2,2,0,20A,ACTIVE,RENTAL,40.7632,-73.9849
3250,98-81 Queens Boulevard,Rego Park,1,1,0,8H,ACTIVE,RENTAL,40.727974,-73.855194
5090,221 West 29th Street,Chelsea,1,1,0,18B,ACTIVE,RENTAL,40.74841,-73.993645
3195,98-81 Queens Boulevard,Rego Park,1,1,0,13A,ACTIVE,RENTAL,40.727974,-73.855194
3295,98-81 Queens Boulevard,Rego Park,1,1,0,14E,ACTIVE,RENTAL,40.727974,-73.855194
4383,30-02 39th Avenue,Long Island City,1,1,0,A807,ACTIVE,RENTAL,40.7525,-73.9337
5600,98-81 Queens Boulevard,Rego Park,2,2,0,4G,ACTIVE,RENTAL,40.727974,-73.855194
5865,975 Nostrand Avenue,Crown Heights,2,2,0,205,ACTIVE,RENTAL,40.664635,-73.950386
5755,975 Nostrand Avenue,Crown Heights,2,2,0,216,ACTIVE,RENTAL,40.664635,-73.950386
3675,975 Nostrand Avenue,Crown Heights,1,1,0,243,ACTIVE,RENTAL,40.664635,-73.950386
5195,12 Halsey Street,Bedford-Stuyvesant,2,1,0,506,ACTIVE,RENTAL,40.681404,-73.95299
6195,780 Greenwich Street,West Village,0,1,0,6R,ACTIVE,RENTAL,40.7367,-74.0068
4450,354 East 91st Street,Yorkville,1,1,0,1702,ACTIVE,RENTAL,40.7805,-73.9482
3300,2339 Nostrand Avenue,Midwood,1,1,0,6J,ACTIVE,RENTAL,40.627617,-73.9467
3300,2339 Nostrand Avenue,Midwood,1,1,0,5J,ACTIVE,RENTAL,40.627617,-73.9467
3300,2339 Nostrand Avenue,Midwood,1,1,0,5F,ACTIVE,RENTAL,40.627617,-73.9467
2700,400 West 128th Street,West Harlem,1,1,0,9A,ACTIVE,RENTAL,40.812874,-73.9522
3973,260 West 52nd Street,Midtown,0,1,0,10A,ACTIVE,RENTAL,40.7632,-73.9849
8667,400 West 113th Street,Morningside Heights,2,2,0,929,ACTIVE,RENTAL,40.804,-73.9604
6700,27-01 Jackson Avenue,Hunters Point,2,1,0,28F,ACTIVE,RENTAL,40.747875,-73.94111
5550,8 West 108th Street,Manhattan Valley,4,1,0,28,ACTIVE,RENTAL,40.799458,-73.95993
8128,70 Pine Street,Financial District,2,2,0,2211,ACTIVE,RENTAL,40.7065,-74.0077
5808,170 Amsterdam Avenue,Lincoln Square,1,1,0,15C,ACTIVE,RENTAL,40.7762,-73.9827
4774,30 Halletts Point,Astoria,2,1,0,3-1110,ACTIVE,RENTAL,40.77657,-73.936356
4103,420 East 54th Street,Sutton Place,0,1,0,502,ACTIVE,RENTAL,40.7558,-73.9635
6000,235 West 48th Street,Midtown,1,1,0,019P,ACTIVE,RENTAL,40.7609,-73.9861
3150,3880 9th Avenue,Inwood,0,1,0,8K,ACTIVE,RENTAL,40.864166,-73.91741
2800,152-11 89th Avenue,Jamaica,1,1,0,519,ACTIVE,RENTAL,40.705593,-73.80451
3070,414 Gerard Avenue,Mott Haven,1,1,0,E418,ACTIVE,RENTAL,40.817127,-73.9296
4200,26-38 21st Street,Astoria,2,1,0,4J,ACTIVE,RENTAL,40.7722,-73.9259
4895,1440 Amsterdam Avenue,Manhattanville,2,1,0,1814,ACTIVE,RENTAL,40.8167,-73.95431
4675,1440 Amsterdam Avenue,Manhattanville,2,1,0,1815,ACTIVE,RENTAL,40.8167,-73.95431
6595,1440 Amsterdam Avenue,Manhattanville,3,2,0,1808,ACTIVE,RENTAL,40.8167,-73.95431
8785,400 West 63rd Street,Lincoln Square,2,2,0,1410,ACTIVE,RENTAL,40.7746,-73.9899
